census_division,census_region,driver_count,household_income,household_size,home_type,number_adults_hh,vehicles_per_household,travel_date,travel_day,urban,household_location,household_workers,household_id
New England,Northeast,2,"$175,000 or more",4,One-family detached,2,2,202202,Sunday,In an urban area,Urban,1,9000013002
New England,Northeast,2,"$75,000 to $99,999",2,Building with 2 or more apartments,2,1,202202,Wednesday,In an urban area,Urban,2,9000013016
New England,Northeast,1,"$150,000 to $174,999",1,Building with 2 or more apartments,1,0,202202,Tuesday,In an urban area,Urban,1,9000013026
New England,Northeast,2,"$75,000 to $99,999",4,Building with 2 or more apartments,2,1,202201,Thursday,In an urban area,Urban,1,9000013039
New England,Northeast,1,"$175,000 or more",1,"Townhome, Condo",1,1,202201,Monday,In an urban area,Urban,1,9000013041
New England,Northeast,2,"$175,000 or more",3,One-family detached,2,2,202202,Friday,In an urban area,Urban,2,9000013042
New England,Northeast,1,"$50,000 to $74,999",1,One-family detached,1,1,202202,Tuesday,In an urban area,Urban,0,9000013043
New England,Northeast,2,"$75,000 to $99,999",2,Building with 2 or more apartments,2,2,202202,Friday,In an urban area,Urban,2,9000013044
New England,Northeast,1,"$50,000 to $74,999",2,Building with 2 or more apartments,2,1,202202,Monday,In an urban area,Urban,2,9000013045
New England,Northeast,2,"$150,000 to $174,999",2,One-family detached,2,2,202201,Sunday,In an urban area,Urban,0,9000013046
New England,Northeast,0,"$10,000 to $14,999",1,Building with 2 or more apartments,1,0,202202,Tuesday,In an urban cluster,Urban,0,9000013048
New England,Northeast,2,"$150,000 to $174,999",5,One-family detached,2,2,202202,Sunday,Not in an urban area,Rural,1,9000013068
New England,Northeast,2,"$50,000 to $74,999",2,One-family detached,2,3,202202,Thursday,Not in an urban area,Rural,1,9000013081
New England,Northeast,2,"$75,000 to $99,999",2,One-family detached,2,2,202202,Friday,Not in an urban area,Rural,0,9000013083
New England,Northeast,2,"$50,000 to $74,999",2,One-family detached,2,2,202201,Sunday,In an urban area,Urban,0,9000013086
New England,Northeast,2,"$175,000 or more",2,One-family detached,2,2,202202,Wednesday,In an urban area,Urban,2,9000013099
New England,Northeast,3,"$50,000 to $74,999",3,Building with 2 or more apartments,3,3,202202,Tuesday,In an urban area,Urban,0,9000013104
New England,Northeast,3,"$175,000 or more",3,One-family detached,3,2,202203,Saturday,Not in an urban area,Rural,2,9000013122
New England,Northeast,1,"$50,000 to $74,999",1,One-family detached,1,1,202202,Saturday,In an urban area,Urban,1,9000013145
New England,Northeast,2,"$50,000 to $74,999",2,One-family detached,2,2,202202,Friday,Not in an urban area,Rural,0,9000013148
New England,Northeast,2,"$35,000 to $49,999",2,One-family detached,2,2,202202,Wednesday,Not in an urban area,Rural,0,9000013158
New England,Northeast,2,"$35,000 to $49,999",8,Building with 2 or more apartments,8,1,202202,Tuesday,In an urban area,Urban,1,9000013164
New England,Northeast,1,"$35,000 to $49,999",1,Building with 2 or more apartments,1,3,202201,Sunday,In an urban area,Urban,1,9000013165
New England,Northeast,3,"$100,000 to $124,999",4,Building with 2 or more apartments,3,2,202202,Monday,In an urban area,Urban,2,9000013167
New England,Northeast,2,"$75,000 to $99,999",6,One-family detached,2,2,202203,Thursday,In an urban area,Urban,2,9000013183
New England,Northeast,1,"$25,000 to $34,999",3,Building with 2 or more apartments,1,1,202202,Tuesday,In an urban area,Urban,1,9000013206
New England,Northeast,1,"$125,000 to $149,999",1,One-family detached,1,1,202201,Monday,In an urban area,Urban,1,9000013216
New England,Northeast,2,"$175,000 or more",2,Building with 2 or more apartments,2,2,202202,Saturday,Not in an urban area,Rural,2,9000013237
New England,Northeast,1,"$175,000 or more",1,One-family detached,1,1,202202,Thursday,In an urban cluster,Urban,1,9000013246
New England,Northeast,2,"$75,000 to $99,999",2,One-family detached,2,2,202202,Sunday,In an urban area,Urban,0,9000013255
New England,Northeast,1,"$125,000 to $149,999",1,One-family detached,1,1,202202,Monday,Not in an urban area,Rural,0,9000013256
New England,Northeast,2,"$35,000 to $49,999",2,One-family detached,2,2,202211,Wednesday,Not in an urban area,Rural,0,9000013265
New England,Northeast,1,"$25,000 to $34,999",1,Building with 2 or more apartments,1,1,202202,Wednesday,Not in an urban area,Rural,0,9000013267
New England,Northeast,2,"$50,000 to $74,999",4,One-family detached,2,2,202202,Sunday,In an urban cluster,Urban,2,9000013268
New England,Northeast,2,"$50,000 to $74,999",2,One-family detached,2,2,202202,Friday,In an urban area,Urban,0,9000013269
New England,Northeast,3,"$175,000 or more",3,One-family detached,3,3,202202,Friday,In an urban cluster,Urban,3,9000013284
New England,Northeast,1,"$15,000 to $24,999",1,One-family detached,1,2,202202,Sunday,Not in an urban area,Rural,0,9000013285
New England,Northeast,2,"$75,000 to $99,999",2,One-family detached,2,2,202202,Tuesday,Not in an urban area,Rural,1,9000013287
New England,Northeast,2,"$50,000 to $74,999",2,One-family detached,2,2,202202,Sunday,Not in an urban area,Rural,1,9000013293
Middle Atlantic,Northeast,1,"$10,000 to $14,999",1,One-family detached,1,1,202201,Friday,In an urban area,Urban,0,9000013313
Middle Atlantic,Northeast,1,"$50,000 to $74,999",1,One-family detached,1,0,202201,Tuesday,In an urban area,Urban,1,9000013315
Middle Atlantic,Northeast,0,"$15,000 to $24,999",1,Building with 2 or more apartments,1,0,202202,Tuesday,In an urban area,Urban,0,9000013338
Middle Atlantic,Northeast,0,"$50,000 to $74,999",2,Building with 2 or more apartments,2,0,202201,Monday,In an urban area,Urban,1,9000013354
Middle Atlantic,Northeast,2,"$75,000 to $99,999",2,One-family detached,2,2,202202,Sunday,In an urban area,Urban,0,9000013356
